nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_writers
nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0460829,tt0098936,tt0105665,tt0166924",nm0000186
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0295178,tt0811138,tt0145660,tt0118655",nm0000196
nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt0106226,tt0070379,tt0075314,tt0099685",nm0000217
nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0108333,tt0107144,tt0094291,tt0369179",nm0000221
nm0000229,Steven Spielberg,1946,\N,"producer,writer,director","tt0082971,tt0120815,tt0083866,tt0108052",nm0000229
nm0000230,Sylvester Stallone,1946,\N,"actor,writer,producer","tt0084602,tt0089927,tt3076658,tt0075148",nm0000230
nm0000231,Oliver Stone,1946,\N,"director,producer,writer","tt0110632,tt0102138,tt0096969,tt0091763",nm0000231
nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer","tt0110912,tt0105236,tt0116367,tt7131622",nm0000233
nm0000235,Uma Thurman,1970,\N,"actress,soundtrack,producer","tt0378194,tt0110912,tt0118688,tt0266697",nm0000235
nm0000241,Jean-Claude Van Damme,1960,\N,"actor,writer,producer","tt0119013,tt0097659,tt1130988,tt0101764",nm0000241
nm0000247,John Woo,1946,\N,"director,producer,writer","tt0119094,tt0092263,tt0425637,tt0104684",nm0000247
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt0181852,tt2120120,tt0430922,tt1596350",nm0000251
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt0119217,tt1024648,tt0840361,tt2267998",nm0000255
nm0000264,Pedro Almodóvar,1949,\N,"writer,director,soundtrack","tt0101026,tt0287467,tt1189073,tt0095675",nm0000264
nm0000265,Robert Altman,1925,2006,"director,producer,writer","tt0073440,tt0108122,tt0280707,tt0105151",nm0000265
nm0000269,Jean-Jacques Annaud,1943,\N,"director,producer,writer","tt0215750,tt0120102,tt0091605,tt2909116",nm0000269
nm0000320,Luis Buñuel,1900,1983,"writer,director,actor","tt0061395,tt0068361,tt0042804,tt0056732",nm0000320
nm0000338,Francis Ford Coppola,1939,\N,"producer,director,writer","tt0071562,tt0071360,tt0078788,tt0068646",nm0000338
nm0000341,Michael Crichton,1942,2008,"writer,producer,director","tt0117998,tt0108757,tt0070909,tt0107290",nm0000341
nm0000343,David Cronenberg,1943,\N,"director,actor,writer","tt0091064,tt0094964,tt0115964,tt0120907",nm0000343
nm0000354,Matt Damon,1970,\N,"producer,actor,soundtrack","tt0407887,tt0134119,tt0119217,tt3659388",nm0000354
nm0000365,Julie Delpy,1969,\N,"actress,writer,director","tt0111507,tt0112471,tt0841044,tt0381681",nm0000365
nm0000386,Roland Emmerich,1955,\N,"writer,producer,director","tt0116629,tt1628841,tt0319262,tt0120685",nm0000386
nm0000416,Terry Gilliam,1940,\N,"writer,actor,animation_department","tt0088846,tt1054606,tt0071853,tt0085959",nm0000416
nm0000419,Jean-Luc Godard,1930,2022,"director,writer,editor","tt0058898,tt0053472,tt0056663,tt0059592",nm0000419
nm0000436,Curtis Hanson,1945,2016,"director,producer,writer","tt0388125,tt0119488,tt0185014,tt0104389",nm0000436
nm0000455,John Hughes,1950,2009,"writer,producer,director","tt0090305,tt0098554,tt0093748,tt0091042",nm0000455
nm0000464,Jim Jarmusch,1953,\N,"director,writer,actor","tt0088184,tt0412019,tt1714915,tt5247022",nm0000464
nm0000466,Jean-Pierre Jeunet,1953,\N,"director,writer,producer","tt1149361,tt0344510,tt0101700,tt0211915",nm0000466
nm0000485,Fritz Lang,1890,1976,"director,writer,producer","tt0019415,tt0057345,tt0017136,tt0022100",nm0000485
nm0000490,Spike Lee,1957,\N,"director,producer,writer","tt0097216,tt0104797,tt9777644,tt0091939",nm0000490
nm0000500,Richard Linklater,1960,\N,"producer,director,writer","tt2209418,tt0243017,tt1065073,tt0405296",nm0000500
nm0000517,Terrence Malick,1943,\N,"producer,writer,director","tt0120863,tt0069762,tt0478304,tt0077405",nm0000517
nm0000519,David Mamet,1947,\N,"writer,producer,director","tt0120885,tt0120202,tt0104348,tt0093223",nm0000519
nm0000520,Michael Mann,1943,\N,"producer,writer,director","tt0140352,tt0091474,tt0369339,tt0104691",nm0000520
nm0000552,Eddie Murphy,1961,\N,"actor,writer,producer","tt0126029,tt0117218,tt0443489,tt0094898",nm0000552
nm0000591,Roman Polanski,1933,\N,"director,actor,writer","tt0071315,tt1692486,tt0074811,tt1139328",nm0000591
nm0000600,Sam Raimi,1959,\N,"producer,writer,director","tt0083907,tt0145487,tt0106308,tt0099365",nm0000600
nm0000601,Harold Ramis,1944,2014,"writer,actor,producer","tt0083131,tt0087332,tt0107048,tt0478311",nm0000601
nm0000626,John Sayles,1950,\N,"writer,actor,director","tt0087004,tt0095082,tt0116905,tt0119657",nm0000626
nm0000632,Jerry Seinfeld,1954,\N,"writer,producer,actor","tt0098904,tt12117854,tt0389790,tt2314952",nm0000632
nm0000636,William Shakespeare,1564,1616,"writer,soundtrack,miscellaneous","tt14297038,tt10095582,tt8632012,tt20711868",nm0000636
nm0000668,Emma Thompson,1959,\N,"actress,writer,soundtrack","tt0314331,tt0114388,tt2140373,tt0107943",nm0000668
nm0000681,Vince Vaughn,1970,\N,"producer,actor,writer","tt0452594,tt0396269,tt1078940,tt5657856",nm0000681
nm0000697,Billy Wilder,1906,2002,"writer,director,producer","tt0053291,tt0053604,tt0043014,tt0047437",nm0000697
nm0000709,Robert Zemeckis,1951,\N,"producer,writer,director","tt0088763,tt0109830,tt0118884,tt1907668",nm0000709
nm0000720,Jim Abrahams,1944,\N,"writer,producer,director","tt0080339,tt0088286,tt0083466,tt0102059",nm0000720
nm0000735,Brian Aldiss,1925,2017,"writer,actor","tt0099612,tt0212720,tt0432260,tt1590816",nm0000735
nm0000759,Paul Thomas Anderson,1970,\N,"director,writer,producer","tt0272338,tt11271038,tt0118749,tt0469494",nm0000759
nm0000783,Dario Argento,1940,\N,"writer,director,producer","tt0073582,tt0065143,tt0093677,tt0087909",nm0000783
nm0000807,Jane Austen,1775,1817,writer,"tt0116191,tt0114388,tt13456318,tt0414387",nm0000807
nm0000812,Roger Avary,1965,\N,"writer,producer,director","tt0110912,tt0442933,tt0105236,tt0110265",nm0000812
nm0000837,Bob Balaban,1945,\N,"actor,director,producer","tt0379725,tt0310281,tt0075860,tt0280707",nm0000837
nm0000850,Clive Barker,1952,\N,"writer,producer,actor","tt0100260,tt0093177,tt0887261,tt0103919",nm0000850
nm0000875,L. Frank Baum,1856,1919,"writer,producer,miscellaneous","tt0004207,tt0089908,tt0032138,tt0000679",nm0000875
nm0000876,Noah Baumbach,1969,\N,"writer,director,producer","tt7653254,tt0367089,tt2347569,tt2872462",nm0000876
nm0000905,Roberto Benigni,1952,\N,"actor,writer,director","tt0090967,tt0118799,tt0102164,tt0419198",nm0000905
nm0000916,Peter Berg,1964,\N,"producer,actor,writer","tt1091191,tt0124198,tt0108724,tt0369339",nm0000916
nm0000934,Bernardo Bertolucci,1941,2018,"writer,director,producer","tt0093389,tt0117737,tt0070849,tt0065571",nm0000934
nm0000948,Shane Black,1961,\N,"writer,actor,director","tt0093773,tt0373469,tt3799694,tt1300854",nm0000948
nm0000965,Danny Boyle,1956,\N,"director,producer,writer","tt1010048,tt0111149,tt0289043,tt1542344",nm0000965
nm0000975,Robert Bresson,1901,1999,"writer,director,editor","tt0061996,tt0042619,tt0060138,tt0049902",nm0000975
nm0000985,James L. Brooks,1940,\N,"writer,producer,miscellaneous","tt0119822,tt0086425,tt0065314,tt0092699",nm0000985
nm0001008,Frank Capra,1897,1991,"director,writer,producer","tt0038650,tt0025316,tt0030993,tt0031679",nm0001008
nm0001031,Claude Chabrol,1930,2010,"director,writer,actor","tt0112769,tt0096336,tt0232083,tt0051404",nm0001031
nm0001037,Graham Chapman,1941,1989,"writer,actor,soundtrack","tt0085959,tt0063929,tt0071853,tt0079470",nm0001037
nm0001045,Tommy Chong,1938,\N,"actor,soundtrack,writer","tt0082163,tt0078446,tt2948356,tt0080520",nm0001045
nm0001053,Ethan Coen,1957,\N,"producer,writer,director","tt2042568,tt0116282,tt6412452,tt1019452",nm0001053
nm0001054,Joel Coen,1954,\N,"producer,writer,director","tt10095582,tt0101410,tt2042568,tt6412452",nm0001054
nm0001060,Chris Columbus,1958,\N,"producer,writer,director","tt1454029,tt0295297,tt0241527,tt0304141",nm0001060
nm0001068,Sofia Coppola,1971,\N,"director,actress,writer","tt0099674,tt5592248,tt0335266,tt0159097",nm0001068
nm0001081,Cameron Crowe,1957,\N,"writer,producer,director","tt0105415,tt0259711,tt0181875,tt0116695",nm0001081
nm0001084,Ice Cube,1969,\N,"soundtrack,actor,producer","tt0113118,tt0195945,tt1408253,tt0101507",nm0001084
nm0001094,Roald Dahl,1916,1990,"writer,actor,soundtrack","tt0100944,tt0047708,tt0062512,tt0067992",nm0001094
nm0001104,Frank Darabont,1959,\N,"writer,producer,director","tt1520211,tt0111161,tt0884328,tt0120689",nm0001104
nm0001140,Philip K. Dick,1928,1982,writer,"tt0405296,tt0181689,tt0100802,tt0083658",nm0001140
nm0001178,Sergei Eisenstein,1898,1948,"director,writer,editor","tt0015648,tt0018217,tt0037824,tt0029850",nm0001178
nm0001188,Nora Ephron,1941,2012,"writer,producer,director","tt0128853,tt0098635,tt0374536,tt1135503",nm0001188
nm0001191,Adam Sandler,1966,\N,"actor,producer,writer","tt0142342,tt0120888,tt0185431,tt0120484",nm0001191
nm0001206,Abel Ferrara,1951,\N,"director,writer,actor","tt0099939,tt0133122,tt0118734,tt0103759",nm0001206
nm0001220,Ian Fleming,1908,1964,"writer,miscellaneous","tt0381061,tt0059800,tt0086006,tt0055928",nm0001220
nm0001252,Vincent Gallo,1961,\N,"actor,director,soundtrack","tt0106307,tt0118789,tt0330099,tt1561768",nm0001252
nm0001279,William Goldman,1931,2018,"writer,miscellaneous,producer","tt0074119,tt0064115,tt0093779,tt0074860",nm0001279
nm0001281,Bobcat Goldthwait,1962,\N,"director,actor,writer","tt0102898,tt0119282,tt1912398,tt0096061",nm0001281
nm0001302,Christopher Guest,1948,\N,"actor,writer,soundtrack","tt0310281,tt0088258,tt0118111,tt0218839",nm0001302
nm0001328,Howard Hawks,1896,1977,"director,producer,writer","tt0061619,tt0040724,tt0053221,tt0038355",nm0001328
nm0001338,Brian Helgeland,1961,\N,"writer,director,producer","tt3569230,tt0453562,tt7991508,tt0183790",nm0001338
nm0001353,Walter Hill,1942,\N,"producer,writer,director","tt0103644,tt0088194,tt0083511,tt0090605",nm0001353
nm0001361,Tobe Hooper,1943,2017,"director,writer,producer","tt0089489,tt0072271,tt0084516,tt0092076",nm0001361
nm0001385,Eric Idle,1943,\N,"actor,writer,soundtrack","tt0085959,tt0071853,tt0096764,tt0079470",nm0001385
nm0001392,Peter Jackson,1961,\N,"producer,director,writer","tt0092610,tt0120737,tt0167261,tt0360717",nm0001392
nm0001402,Terry Jones,1942,2020,"writer,actor,producer","tt0118172,tt0079470,tt0085959,tt0071853",nm0001402
nm0001410,Lawrence Kasdan,1949,\N,"writer,producer,director","tt0111756,tt0082971,tt0085244,tt0090022",nm0001410
nm0001425,Krzysztof Kieslowski,1941,1996,"writer,director,actor","tt0111495,tt0111507,tt0101765,tt0108394",nm0001425
nm0001465,Elmore Leonard,1925,2013,"writer,producer,miscellaneous","tt0113161,tt0119396,tt1489428,tt0120780",nm0001465
nm0001466,Sergio Leone,1929,1989,"assistant_director,writer,director","tt0067140,tt0087843,tt0058461,tt0060196",nm0001466
nm0001501,Louis Malle,1932,1995,"director,writer,producer","tt0051378,tt0080388,tt0092593,tt0071733",nm0001501
nm0001507,Cheech Marin,1946,\N,"actor,soundtrack,writer","tt0116367,tt0078446,tt0092690,tt0117918",nm0001507
nm0001589,Michael Palin,1943,\N,"writer,actor,soundtrack","tt0081633,tt0085959,tt0079470,tt0071853",nm0001589
nm0001596,Pier Paolo Pasolini,1922,1975,"writer,director,actor","tt0073650,tt0065622,tt0058715,tt0061613",nm0001596
nm0001661,Rob Reiner,1947,\N,"actor,writer,producer","tt0066626,tt0993846,tt0160916,tt0088258",nm0001661
nm0001675,Robert Rodriguez,1968,\N,"producer,writer,director","tt1077258,tt0287717,tt0104815,tt0462322",nm0001675
nm0001681,George A. Romero,1940,2017,"producer,writer,director","tt0418819,tt0095652,tt0063350,tt0848557",nm0001681
nm0001707,Paul Schrader,1946,\N,"writer,director,soundtrack","tt0118564,tt0075314,tt11196036,tt6053438",nm0001707
nm0001728,Wallace Shawn,1943,\N,"actor,writer,producer","tt0093779,tt0317705,tt0114709,tt0082783",nm0001728
nm0001774,Ben Stiller,1965,\N,"producer,actor,director","tt1608290,tt0359950,tt0942385,tt0196229",nm0001774
nm0001779,Tom Stoppard,1937,\N,"writer,producer,actor","tt0088846,tt1781769,tt0138097,tt0100519",nm0001779
nm0001789,Andrei Tarkovsky,1932,1986,"writer,director,actor","tt0091670,tt0069293,tt0060107,tt0086022",nm0001789
nm0001811,Peter Ustinov,1921,2004,"actor,writer,director","tt0054331,tt0074812,tt0055796,tt0077413",nm0001811
nm0001814,Gus Van Sant,1952,\N,"director,producer,writer","tt0842929,tt0102494,tt0363589,tt0097240",nm0001814
nm0001825,Andrew Kevin Walker,1964,\N,"writer,actor,miscellaneous","tt0114369,tt0162661,tt15033192,tt0109327",nm0001825
nm0001873,Steven Zaillian,1953,\N,"writer,producer,director","tt1568346,tt1210166,tt0108065,tt0120633",nm0001873
nm0001878,David Zucker,1947,\N,"writer,producer,director","tt0080339,tt0362120,tt0102510,tt0088286",nm0001878
nm0001885,Lars von Trier,1956,\N,"writer,director,producer","tt4003440,tt0870984,tt0276919,tt0168629",nm0001885
nm0001940,Peter Benchley,1940,2006,"writer,producer,actor","tt0073195,tt0077766,tt0085750,tt0093300",nm0001940
nm0001969,Ray Bradbury,1920,2012,"writer,producer,actor","tt0064473,tt0088591,tt0060390,tt0049513",nm0001969
nm0001988,Marc Caro,1956,\N,"director,writer,actor","tt0118583,tt0487928,tt0112682,tt0101700",nm0001988
nm0002005,Agatha Christie,1890,1976,"writer,camera_department","tt3402236,tt0051201,tt1349600,tt7657566",nm0002005
nm0002009,Arthur C. Clarke,1917,2008,"writer,actor,art_department","tt0086837,tt0134933,tt0062622,tt0043238",nm0002009
nm0002020,Costa-Gavras,1933,\N,"director,writer,producer","tt0422015,tt0065234,tt0280653,tt0084335",nm0002020
nm0002021,Noël Coward,1899,1973,"writer,soundtrack,actor","tt0037558,tt0038363,tt0064505,tt0034891",nm0002021
nm0002025,Hume Cronyn,1911,2003,"actor,producer,writer","tt0088933,tt0092494,tt0036342,tt0088850",nm0002025
nm0002071,Will Ferrell,1967,\N,"producer,actor,soundtrack","tt0415306,tt1229340,tt0445934,tt0357413",nm0002071
nm0002132,Amy Heckerling,1954,\N,"writer,director,producer","tt3973820,tt0115137,tt0097778,tt0083929",nm0002132
nm0002140,Agnieszka Holland,1948,\N,"director,writer,assistant_director","tt0099776,tt1417075,tt5328350,tt6828390",nm0002140
nm0002144,John Houseman,1902,1988,"actor,producer,miscellaneous","tt0080749,tt0073802,tt0070509,tt0073631",nm0002144
nm0002340,Stuart Gordon,1947,2020,"writer,director,producer","tt0758786,tt0106950,tt0091083,tt0089885",nm0002340
nm0002728,Juan José Campanella,1959,\N,"writer,director,actor","tt1305806,tt8453986,tt0210843,tt1994702",nm0002728
nm0002864,Michael Markowitz,1961,\N,"producer,writer,miscellaneous","tt0108755,tt0366034,tt1499658,tt0174378",nm0002864
nm0002973,Lev L. Spiro,\N,\N,"director,sound_department,actor","tt1369845,tt1442437,tt14825736,tt2372162",nm0002973
nm0003031,Caroline Thompson,1956,\N,"writer,producer,director","tt0121164,tt0107688,tt0101272,tt0099487",nm0003031
nm0003160,Christopher McQuarrie,1968,\N,"writer,producer,director","tt1631867,tt0114814,tt4912910,tt2345759",nm0003160
nm0003249,Kristofor Brown,\N,\N,"producer,writer,miscellaneous","tt0817538,tt3544772,tt0105950,tt0273028",nm0003249
nm0003321,Scott Mitchell Rosenberg,\N,\N,"producer,writer,actor","tt0119654,tt0290966,tt1013860,tt0409847",nm0003321
nm0003408,Chris Marker,1921,2012,"writer,director,editor","tt0114746,tt0084628,tt0054799,tt0056119",nm0003408
nm0003506,James Mangold,1963,\N,"producer,director,writer","tt3315342,tt1950186,tt0358273,tt0113280",nm0003506
nm0003620,Kevin Smith,1970,\N,"producer,actor,writer","tt0118842,tt0120655,tt0424345,tt0109445",nm0003620
nm0003741,Robin Driscoll,\N,\N,"actor,writer,miscellaneous","tt0096657,tt0118689,tt0373632,tt0453451",nm0003741
nm0004056,Andrew Stanton,1965,\N,"writer,actor,producer","tt2277860,tt0120623,tt0910970,tt0266543",nm0004056
nm0004111,Mark Frost,1953,\N,"writer,producer,miscellaneous","tt0081873,tt4093826,tt0120667,tt0098936",nm0004111
nm0004122,Robert Bolt,1924,1995,"writer,director,actor","tt0091530,tt0060665,tt0059113,tt0056172",nm0004122
nm0004170,Bob Kane,1915,1998,"writer,miscellaneous,art_department","tt0096895,tt1877830,tt0372784,tt0468569",nm0004170
nm0004306,George Miller,1945,\N,"producer,writer,director","tt0079501,tt0366548,tt0082694,tt1392190",nm0004306
nm0004410,Mark Neveldine,1973,\N,"director,actor,producer","tt0479884,tt0964539,tt1121931,tt1034032",nm0004410
nm0004412,Ed Solomon,1960,\N,"writer,script_department,producer","tt0096928,tt0119654,tt3110958,tt0304328",nm0004412
nm0004552,Tom Sito,1956,\N,"art_department,animation_department,director","tt0103639,tt0126029,tt0110357,tt0097757",nm0004552
nm0004716,Darren Aronofsky,1969,\N,"producer,director,writer","tt5109784,tt0414993,tt0138704,tt0180093",nm0004716
nm0004798,Stephen J. Cannell,1941,2010,"writer,producer,actor","tt0092484,tt0071042,tt0080289,tt0081871",nm0004798
nm0004981,Matt Groening,1954,\N,"writer,producer,animation_department","tt0096697,tt0149460,tt0462538,tt5363918",nm0004981
nm0004987,Kirk Hammett,1962,\N,"soundtrack,actor,composer","tt0120177,tt0302886,tt3317234,tt0870154",nm0004987
nm0005036,Gale Anne Hurd,1955,\N,"producer,writer,miscellaneous","tt0090605,tt0120591,tt1340138,tt0088247",nm0005036
nm0005069,Spike Jonze,1969,\N,"producer,writer,director","tt0120601,tt0386117,tt0120188,tt1798709",nm0005069
nm0005101,Harmony Korine,1973,\N,"director,writer,actor","tt0113540,tt2101441,tt0119237,tt1488163",nm0005101
nm0005124,John Lasseter,1957,\N,"producer,writer,director","tt0114709,tt0120363,tt0120623,tt0317219",nm0005124
nm0005139,Mike Leigh,1943,\N,"director,writer,miscellaneous","tt1045670,tt0383694,tt0117589,tt1431181",nm0005139
nm0005222,Sam Mendes,1965,\N,"producer,director,miscellaneous","tt0959337,tt0257044,tt1074638,tt8579674",nm0005222
nm0005351,Ryan Reynolds,1976,\N,"actor,producer,writer","tt5463162,tt6264654,tt1431045,tt1462758",nm0005351
nm0005363,Guy Ritchie,1968,\N,"writer,director,producer","tt0208092,tt6139732,tt0120735,tt0988045",nm0005363
nm0005515,Lars Ulrich,1963,\N,"soundtrack,actor,composer","tt1156398,tt1226229,tt3385516,tt0120755",nm0005515
nm0005541,Marlon Wayans,1972,\N,"actor,writer,producer","tt0430304,tt0116126,tt0381707,tt1046173",nm0005541
nm0005744,Slawomir Idziak,1945,\N,"cinematographer,writer,camera_department","tt0108394,tt0265086,tt0228750,tt0119177",nm0005744
nm0006085,Arthur Freed,1894,1973,"soundtrack,producer,music_department","tt0043278,tt0045152,tt0053125,tt0110413",nm0006085
nm0006516,Chris Terrio,1976,\N,"writer,producer,director","tt1024648,tt12361974,tt2527338,tt2975590",nm0006516
nm0006534,Phil Hay,\N,\N,"writer,producer,actor","tt7137380,tt0250224,tt11875316,tt2400463",nm0006534
nm0006872,Sergio Donati,1933,\N,"writer,actor,assistant_director","tt0091828,tt0067140,tt0076504,tt0064116",nm0006872
nm0006902,Richard D'Ovidio,\N,\N,"writer,producer,actor","tt0245674,tt2376218,tt5592230,tt1911644",nm0006902
nm0006904,Tony Gilroy,1956,\N,"producer,writer,director","tt2872718,tt0465538,tt3748528,tt1135487",nm0006904
nm0006997,Peter M. Lenkov,1964,\N,"producer,writer,miscellaneous","tt7942796,tt0790736,tt0106697,tt0285331",nm0006997
nm0007091,Gabe Sachs,\N,\N,"writer,producer,director","tt0193676,tt1196141,tt0411004,tt2477230",nm0007091
nm0007139,Hark Tsui,1950,\N,"producer,director,writer","tt3950078,tt1686784,tt0103285,tt1123373",nm0007139
nm0007182,Alex Cox,1954,\N,"actor,director,writer","tt0087995,tt0488604,tt0943982,tt0091954",nm0007182
nm0007233,Bryce Zabel,\N,\N,"producer,writer,miscellaneous","tt0119707,tt0115151,tt0230011,tt0802821",nm0007233
nm0007646,Frank Abagnale Jr.,1948,\N,"actor,writer,miscellaneous","tt0264464,tt1148756,tt0170980",nm0007646
nm0008743,Jonathan Aibel,1969,\N,"producer,writer,miscellaneous","tt1679335,tt0441773,tt0118375,tt1302011",nm0008743
nm0008935,Dustin Lee Abraham,\N,\N,"producer,miscellaneous,writer","tt0278488,tt0247082,tt0165454,tt9382344",nm0008935
nm0009190,J.J. Abrams,1966,\N,"producer,writer,music_department","tt2527338,tt0411008,tt2488496,tt0796366",nm0009190
nm0010004,Peter Ackerman,\N,\N,"producer,writer,actor","tt0438097,tt6095472,tt2149175,tt0268380",nm0010004
nm0010338,Jason 'Wee Man' Acuña,1973,\N,"actor,writer,producer","tt0493430,tt11466222,tt1116184,tt2281215",nm0010338
nm0010696,Ales Adamovich,1927,1994,writer,"tt0091251,tt5088274,tt0899242,tt0332820",nm0010696
nm0010930,Douglas Adams,1952,2001,"writer,script_department,miscellaneous","tt0371724,tt0134981,tt2303367,tt4047038",nm0010930
nm0011470,Andrew Adamson,1966,\N,"producer,director,writer","tt0126029,tt0298148,tt0363771,tt0499448",nm0011470
nm0011623,Charles Addams,1912,1988,"writer,actor,miscellaneous","tt0101272,tt0074937,tt1620981,tt0106220",nm0011623
nm0012496,Gilles Adrien,\N,\N,"writer,director,actor","tt0101700,tt0112682,tt0205659,tt0387115",nm0012496
nm0012810,Nina Agadzhanova,1889,1974,"writer,director,assistant_director","tt0015648,tt0019842,tt0023939,tt21635008",nm0012810
nm0013234,David Agosto,\N,\N,"writer,director,editor","tt0225181,tt1276438,tt1764651",nm0013234
nm0014960,Alexandre Aja,1978,\N,"director,producer,writer","tt0464154,tt0338095,tt0454841,tt8364368",nm0014960
nm0015149,Jacques Akchoti,\N,\N,"writer,miscellaneous,script_department","tt10944760,tt2155343,tt14429000,tt4428714",nm0015149
nm0015611,Ryûnosuke Akutagawa,1892,1927,writer,"tt2190475,tt0042876,tt0102128,tt1347008",nm0015611
nm0017893,Grigoriy Aleksandrov,1903,1983,"director,writer,assistant_director","tt0039954,tt0015648,tt0018217,tt0028420",nm0017893
nm0018630,Michele Alexander,\N,\N,writer,"tt0251127,tt2404573",nm0018630
nm0019706,Joan Alison,1901,1992,writer,"tt0044261,tt0047719,tt0044265,tt0034583",nm0019706
nm0020599,J.T. Allen,\N,\N,"writer,art_department,miscellaneous","tt0110357,tt0388367,tt0800095,tt6316816",nm0020599
nm0022688,Ernie Altbacker,\N,\N,"writer,producer,director","tt3952772,tt11079148,tt2788518,tt6315800",nm0022688
nm0023395,Charles Alverson,1935,2020,"writer,actor","tt0076221,tt0087806",nm0023395
nm0024622,Alejandro Amenábar,1972,\N,"writer,director,composer","tt0117883,tt0369702,tt0230600,tt0125659",nm0024622
nm0024925,Hossein Amini,1966,\N,"writer,producer,director","tt6271042,tt1735898,tt1976000,tt0780504",nm0024925
nm0027173,Maxwell Anderson,1888,1959,"writer,soundtrack,music_department","tt0020629,tt0119643,tt0040506,tt0051207",nm0027173
nm0027271,Paul W.S. Anderson,1965,\N,"writer,director,producer","tt0113855,tt0119081,tt0318627,tt1509767",nm0027271
nm0027572,Wes Anderson,1969,\N,"writer,director,producer","tt8847712,tt0432283,tt0265666,tt0128445",nm0027572
nm0027815,Roy Andersson,1943,\N,"director,writer,editor","tt0065955,tt0445336,tt1883180,tt0120263",nm0027815
nm0028764,Mark Andrews,1968,\N,"art_department,writer,miscellaneous","tt0401729,tt12019144,tt0129167,tt1217209",nm0028764
nm0030735,Nimród Antal,1973,\N,"director,actor,writer","tt0985694,tt1424381,tt2172935,tt0373981",nm0030735
nm0031976,Judd Apatow,1967,\N,"producer,writer,director","tt0405422,tt9686708,tt0478311,tt1723816",nm0031976
nm0032227,Josh Appelbaum,\N,\N,"producer,writer,camera_department","tt3949660,tt1291150,tt1229238,tt0787490",nm0032227
nm0032696,Avi Arad,1948,\N,"producer,writer,music_department","tt0120903,tt1219827,tt4633694,tt5108870",nm0032696
nm0035905,Scot Armstrong,1970,\N,"producer,writer,director","tt0408839,tt0215129,tt4688512,tt0302886",nm0035905
nm0037136,Guel Arraes,1953,\N,"director,writer,producer","tt0367975,tt0271383,tt0222542,tt0416979",nm0037136
nm0038595,Nikolay Aseev,1889,1963,"writer,miscellaneous","tt8179144,tt0015167,tt0017260",nm0038595
nm0038896,Rodney Ascher,\N,\N,"director,editor,producer","tt9847360,tt1536483,tt2085910,tt3317522",nm0038896
nm0040022,Tom J. Astle,1960,\N,"writer,producer,miscellaneous","tt0848537,tt0425061,tt0427229,tt0088473",nm0040022
